Luca, Rome, archivio sforico
Decreti, Congregazioni 1755-60"
"Bolton, Soane","A.T. Bolton ed., The Portrait of Sir John Soane R.A., Set forth in Letters from his Friends (1775-1837) [1928]",,,,,,,,,,,,
Borroni 1947a,"F. Borroni Salvadori, 'Francesco Maria Niccolò Gabburri e gli artisti contemporanei', Annali della Scuola Normale Superiore di Pisa, Classe di Lettere e Filosofia [1974]:1503-64",,,,,,,,,,,,
Borroni 1947b,"F. Borroni Salvadori, 'Le esposizioni d' arte a Firenze dal 1674 al 1767', Mitteilungen des Kunst.Inst. in Florenz, 18[1974]:1-165",,,,,,,,,,,,
Borroni 1979,"F. Borroni Salvadori, 'Memorialisti e diaristi a Firenze nel periodo Leopardino 1765-90. Spigolature d'arte e di costume', Annali della Scuola Normale Superiore di Pisa, Classe di Lettere e Filosofia [1979], 1189-1291
",,,,,,,,,,,,
Borroni 1983a,"F. Borroni Salvadori, 'Ignazio Enrico Hugford', Annali della Scuola Normale Superiore di Pisa, Classe di Lettere e Filosofia [1983], 1025-56",,2565,,,,,,,,,,
Borroni 1983b,"F. Borroni Salvadori, 'Personaggi inglesi inseriti nella vita del '700: Lady Walpole e il suo ambiente', Mitteilungen des Kunst.Inst.in Florenz, 27[1983]: 83-124",,,,,,,,,,,,
Borroni 1983c,"F. Borroni Salvadori, 'A passo a passo dietro a Giuseppe Bencivenni Pelli al tempo della Galleria', Rassegna Storica Toscana, 29.1[1983l:3-53 and 29.2[1983]:154-205
",,,,,,,,,,,,
Borroni 1984,"F. Borroni Salvadori, 'In Galleria gli artisti e i viaggiatori del Settecento contribuiscono a diffondere il mito di Raffaello', Rassegna Storica Toscana, 30.1[1984):21-59
",,,904,,,,,,,,,
Borroni 1985,"F. Borroni Salvadori, 'Artisti e viaggiatori agli Uffizi nel Settecento 1', Labyrinthos, 4, 7/8 [1985l:3-72",,,2094,,,,,,,,,
Borroni 1986,"F. Borroni Salvadori, 'Artisti e viaggiatori agli Uffizi nel Settecento 2', Labyrinthos, 10[1986]: 38-92",,,"2634, 3339, 4715",,,,,,,,,
Borroni 1987,"F. Borroni Salvadori,  'Artisti e viaggiatori agli Uffizi nel Settecento 3', Labyrinthos, 12[1987]: 93-156",,"2602, 2949, 3325",2368,,,,,,,,,
Borroni 1990,"F. Borroni Salvadori, 'Artisti e viaggiatori agli Uffizi nel Settecento 4', Labyrinthos, 17/18[1990]: 199-224",,,,,,,,,,,,
Borroni 1991,"F. Borroni Salvadori, 'Artisti e viaggiatori agli Uffizi nel Settecento 5', Labyrinthos, 19/20[1991]: 227-72",,,3599,,,,,,,,,
"Boswell, Italy","Boswell on the Grand Tour: Italy, 
Corsica, and France 1765-1766, ed. F. Brady and EA. Pottle [1955] ",,"2659, 4072.1, 4072.2",1485,,,,,,,,,
Brand letters MSS A,"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4: HMC Ailesbury, 249-61",,"556, 654",,,,,,,,,,
Brand letters MSS C,"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4: to his sister Susan Brand (later Mrs Carr); CUL, Add.8670/1-40",,"556, 654, 1932",,,,,,,,,,
Brand letters MSS D,"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4: to the Rev Robert Wharton; Durham U. Lib., Wharton MSS",,556,,,,,,,,,,
