Full title,Abbreviation in sources,Abbreviation in dictionary,,Number of entries with the source as January 2023,
"A.T. Bolton ed., The Portrait of Sir John Soane R.A., Set forth in Letters from his Friends (1775-1837) [1928]","Bolton, Soane","Bolton, Soane",,8,
"F. Borroni Salvadori, 'Francesco Maria Niccolò Gabburri e gli artisti contemporanei', Annali della Scuola Normale Superiore di Pisa, Classe di Lettere e Filosofia [1974]:1503-64",Borroni 1947a,Borroni 1947a,,N.A.,
"F. Borroni Salvadori, 'Le esposizioni d' arte a Firenze dal 1674 al 1767', Mitteilungen des Kunst.Inst. in Florenz, 18[1974]:1-165",Borroni 1947b,Borroni 1947b,,N.A.,
"F. Borroni Salvadori, 'Memorialisti e diaristi a Firenze nel periodo Leopardino 1765-90. Spigolature d'arte e di costume', Annali della Scuola Normale Superiore di Pisa, Classe di Lettere e Filosofia [1979], 1189-1291
",Borroni 1979,Borroni 1979,,4,
"F. Borroni Salvadori, 'Ignazio Enrico Hugford', Annali della Scuola Normale Superiore di Pisa, Classe di Lettere e Filosofia [1983], 1025-56",Borroni 1983a,Borroni 1983a,,2,
"F. Borroni Salvadori, 'Personaggi inglesi inseriti nella vita del '700: Lady Walpole e il suo ambiente', Mitteilungen des Kunst.Inst.in Florenz, 27[1983]: 83-124",Borroni 1983b,Borroni 1983b,,3,
"F. Borroni Salvadori, 'A passo a passo dietro a Giuseppe Bencivenni Pelli al tempo della Galleria', Rassegna Storica Toscana, 29.1[1983]:3-53 and 29.2[1983]:154-205
",Borroni 1983c,Borroni 1983c,,1,
"F. Borroni Salvadori, 'In Galleria gli artisti e i viaggiatori del Settecento contribuiscono a diffondere il mito di Raffaello', Rassegna Storica Toscana, 30.1[1984]:21-59
",Borroni 1984,Borroni 1984,,3,
"F. Borroni Salvadori, 'Artisti e viaggiatori agli Uffizi nel Settecento 1', Labyrinthos, 4, 7/8 [1985]:3-72",Borroni 1985,Borroni 1985,,18,
"F. Borroni Salvadori, 'Artisti e viaggiatori agli Uffizi nel Settecento 2', Labyrinthos, 10[1986]: 38-92",Borroni 1986,Borroni 1986,,17,
"F. Borroni Salvadori, 'Artisti e viaggiatori agli Uffizi nel Settecento 3', Labyrinthos, 12[1987]: 93-156",Borroni 1987,Borroni 1987,,21,
"F. Borroni Salvadori, 'Artisti e viaggiatori agli Uffizi nel Settecento 4', Labyrinthos, 17/18[1990]: 199-224",Borroni 1990,Borroni 1990,,,
"F. Borroni Salvadori, 'Artisti e viaggiatori agli Uffizi nel Settecento 5', Labyrinthos, 19/20[1991]: 227-72",Borroni 1991,Borroni 1991,,5,
"Boswell on the Grand Tour: Italy, Corsica, and France 1765-1766, ed. F. Brady and EA. Pottle [1955] ","Boswell, Italy","Boswell, Italy",,41,
"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4; HMC Ailesbury, 249-61",Brand letters MSS A,Brand letters MSS A,,2,
"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4; to his sister Susan Brand (later Mrs Carr); CUL, Add.8670/1-40",Brand letters MSS C,Brand letters MSS C,,10,
"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4; to the Rev Robert Wharton; Durham U. Lib., Wharton MSS",Brand letters MSS D,Brand letters MSS D,,8,
"letters from Thomas Brand (c.1751-1814) in Italy 1783-4, 1787 and 1790-4; to Mrs Carr with one to the Rev J. Hall (12 Sep.1791) and one to the Rev Mr Carr (18 Jun.1791); NLS, Brand MSS, acc.10061",Brand letters MSS E,Brand letters MSS E,,7,
"J. Kenworthy-Browne, 'Matthew Brettingham's Rome Account Book 1747-54: Wal.Soc., 49[1983]: 37-132",Brettingham 1983,Brettingham 1983,,4,
"H. Brigstocke, William Buchanan and the 19th century Art Trade [1982] ","Brigstocke, Buchanan","Brigstocke, Buchanan",,2,
"G.P. Brizzi, 'La pratica del viaggio d'istruzione in Italia nel Sei- Settecento', Annali dell' Istituto storico italo-germanico in Trento, 2[1976]: 203-91 ",Brizzi 1976,Brizzi 1976,,6,
"Southampton U., Hartley Lib., MS 62 [contents of the archive is described in Connell 1957, 466-73]",Broadlands MSS,Broadlands MSS,,21,
"N. Brooke, Observations on the Manners and Customs of Italy [1798]","Brooke, Observations","Brooke, Observations",,10,
"H.F. Brown, Inglesi e Scozzesi all' Universita di Padova dall' anno 1618 sino al 1765 [1921] ",Brown 1921,Brown 1921,,640,
"W. Buchanan, Memoirs of Painting, 2 vols. [1824]",Buchanan 1824,Buchanan 1824,,7,
Burghley House ,Burghley MSS,Burghley MSS,,2,
"Correspondence of the Rt.Hon. Edmund Burke, ed. Earl Fitzwilliam, and Sir R. Bourke, 4 vols. [1844] ",Burke Corr.,Burke Corr.,,2,
The Burlington Magazine,Burl.Mag.,Burl.Mag.,,87,
"C. Burney, The Present State of Music in France and Italy: or, the Journal of a Tour through those Countries, undertaken to collect Materials for a General History of Music [2nd ed. 1773] ","Burney, Tour","Burney, Tour",,20,
"H. Gordon Slade, 'James Byres of Tonley 1734-1817, The Aberdeen Years', Deeside Field,19[1987]:130-39",Byres 1987,Byres 1987,,6,
"D. Ridgway, 'James Byres and the ancient State of Italy: unpublished documents in Edinburgh', Istituto di studi Etruschi e Italici, secondo congresso internazioriale Etrusco, Atti, 1:213-29",Byres 1989,Byres 1989,,2,
"letters from James Byres in Rome to William Constable 1766-74; Humberside Co. Archives, Beverley; Chichester-Constable MSS, DD/CC/145/6 ",Byres letters MSS C,Byres letters MSS C,,31,
"letters from James Byres in Rome to Philip Yorke 1779-84; PRO NI, Caledon Castle Mss, 0433/69/ ",Byres letters MSS Y,Byres letters MSS Y,,7,
"business papers of Patrick Moir acting for James Byres; includes May 1790 inventory of Byres's house in Rome; NLS, Moir/Byres MSS, deposit 184B",Byres MSS,Byres MSS,,24,
"letters from Francis Canning in Italy 1793; Glos.RO, Gloucester, D2857/2/16 ",Canning letters MSS,Canning letters MSS,,,
"correspondence of Antonio Canova; Biblioteca Civica, Bassano del Grappa",Canoviani MSS,Canoviani MSS,,,
"letters from Henry Carr in Italy 1739-40, and from John and Harriet Carr in Italy 1791-4; Northumb. RO, Newcastle, Carr-Ellison MSS, 855/B4 ",Carr letters MSS,Carr letters MSS,,,
Mrs Mary Carter's Letters [1860],Carter Letters,Carter Letters,,,
"correspondence of 1st Baron Cawdor; Carmarthen RO, Cawdor MSS, box 129 ",Cawdor MSS,Cawdor MSS,,,
"G.E. C[okayne], Complete Baronetage ",CB,CB,,,
